node_id,is_supply,x,y,z
V0s,True,2444.6,1427.4,0.0
V1s,True,2491.5,1470.7,0.0
V2s,True,2525.2,1384.8,0.0
V3s,True,2545.1,1298.8,0.0
V4s,True,2565.7,1213.4,0.0
V5s,True,2592.6,1127.6,0.0
V6s,True,2572.2,1039.7,0.0
V7s,True,2575.3,950.5,0.0
V8s,True,2586.3,860.0,0.0
V9s,True,2521.0,805.0,0.0
V10s,True,2471.5,737.6,0.0
V11s,True,2432.2,663.8,0.0
V12s,True,2400.1,584.7,0.0
V13s,True,2326.8,543.0,0.0
V14s,True,2278.6,474.7,0.0
V15s,True,2246.8,399.8,0.0
V16s,True,2435.6,509.2,0.0
V17s,True,2440.0,426.8,0.0
V18s,True,2429.5,346.9,0.0
V19s,True,2656.2,802.1,0.0
V20s,True,2712.7,733.2,0.0
V21s,True,2760.0,659.3,0.0
V22s,True,2798.6,581.9,0.0
V23s,True,2828.6,501.8,0.0
V24s,True,2851.2,419.8,0.0
V25s,True,2871.6,335.6,0.0
V26s,True,2949.5,303.8,0.0
V27s,True,3008.1,248.1,0.0
V28s,True,3049.9,181.2,0.0
V29s,True,2831.6,258.3,0.0
V30s,True,2815.8,176.2,0.0
V31s,True,2811.6,95.8,0.0
V32s,True,2814.9,18.0,0.0
V33s,True,2673.4,1120.3,0.0
V34s,True,2749.2,1095.3,0.0
V35s,True,2819.2,1056.6,0.0
V36s,True,2883.4,1008.4,0.0
V37s,True,2942.2,954.0,0.0
V38s,True,2995.7,895.8,0.0
V39s,True,2449.6,1551.6,0.0
V40s,True,2406.6,1631.7,0.0
V41s,True,2361.5,1715.8,0.0
V42s,True,2291.6,1803.8,0.0
V43s,True,2333.8,1776.5,0.0
V44s,True,2319.4,1707.1,0.0
V45s,True,2230.6,1879.0,0.0
V46s,True,2261.7,1968.4,0.0
V47s,True,2282.7,2061.2,0.0
V48s,True,2295.3,2153.5,0.0
V49s,True,2302.9,2243.2,0.0
V50s,True,2307.9,2334.1,0.0
V51s,True,2301.5,2427.7,0.0
V52s,True,2328.1,2517.5,0.0
V53s,True,2344.1,2610.2,0.0
V54s,True,2349.7,2707.8,0.0
V55s,True,2433.6,2751.3,0.0
V56s,True,2512.6,2803.8,0.0
V57s,True,2611.3,2807.9,0.0
V58s,True,2641.8,2744.6,0.0
V59s,True,2681.6,2682.9,0.0
V60s,True,2725.5,2620.9,0.0
V61s,True,2773.8,2557.3,0.0
V62s,True,2752.0,2489.7,0.0
V63s,True,2778.0,2415.6,0.0
V64s,True,2818.3,2344.5,0.0
V65s,True,2841.5,2507.9,0.0
V66s,True,2891.5,2436.4,0.0
V67s,True,2957.4,2388.2,0.0
V68s,True,2904.1,2353.4,0.0
V69s,True,2706.4,2842.4,0.0
V70s,True,2681.8,2883.3,0.0
V71s,True,2639.9,2925.9,0.0
V72s,True,2585.7,2967.0,0.0
V73s,True,2519.3,3005.2,0.0
V74s,True,2439.6,2991.8,0.0
V75s,True,2354.6,3013.3,0.0
V76s,True,2477.5,3073.3,0.0
V77s,True,2395.4,3109.2,0.0
V78s,True,2794.0,2883.1,0.0
V79s,True,2884.6,2874.5,0.0
V80s,True,2974.6,2876.7,0.0
V81s,True,3066.8,2881.4,0.0
V82s,True,3073.2,2816.2,0.0
V83s,True,3161.3,2878.9,0.0
V84s,True,3186.3,2800.5,0.0
V85s,True,3220.7,2723.3,0.0
V86s,True,3261.7,2651.1,0.0
V87s,True,3249.9,2903.9,0.0
V88s,True,3318.9,2960.3,0.0
V89s,True,3393.2,3007.4,0.0
V90s,True,3462.3,3061.1,0.0
V91s,True,3524.7,3124.1,0.0
V92s,True,3584.0,3193.6,0.0
V93s,True,3657.4,3251.6,0.0
V94s,True,3733.3,3306.4,0.0
V95s,True,3776.1,3394.8,0.0
V96s,True,3838.4,3470.6,0.0
V97s,True,3895.3,3420.2,0.0
V98s,True,3949.7,3359.1,0.0
V99s,True,4012.8,3296.7,0.0
V100s,True,4051.4,3212.5,0.0
V101s,True,4079.7,3131.0,0.0
V102s,True,3949.1,3292.4,0.0
V103s,True,3983.9,3217.3,0.0
V104s,True,3873.7,3563.6,0.0
V105s,True,3908.6,3657.3,0.0
V106s,True,3951.6,3754.9,0.0
V107s,True,4021.8,3839.5,0.0
V108s,True,3977.5,3862.5,0.0
V109s,True,3984.9,3912.6,0.0
V110s,True,4014.3,3977.0,0.0
V111s,True,4015.0,4043.6,0.0
V112s,True,4074.2,4007.5,0.0
V113s,True,4016.2,3936.3,0.0
V114s,True,4117.0,3890.9,0.0
V115s,True,4207.0,3854.0,0.0
V116s,True,4296.9,3816.2,0.0
V117s,True,4283.6,3759.2,0.0
V118s,True,4280.6,3691.6,0.0
V119s,True,4284.8,3619.5,0.0
V120s,True,4293.2,3544.9,0.0
V121s,True,4385.6,3769.9,0.0
V122s,True,4467.2,3716.7,0.0
V123s,True,4542.8,3751.3,0.0
V124s,True,4624.2,3766.0,0.0
V125s,True,4708.5,3766.7,0.0
V126s,True,4795.2,3758.6,0.0
V127s,True,4887.7,3757.6,0.0
V128s,True,4877.5,3815.7,0.0
V129s,True,4866.9,3878.3,0.0
V130s,True,4863.3,3944.1,0.0
V131s,True,4979.4,3764.5,0.0
V132s,True,5069.2,3760.1,0.0
V133s,True,5066.3,3680.5,0.0
V134s,True,5068.2,3593.9,0.0
V135s,True,5075.3,3500.7,0.0
V136s,True,5106.8,3395.1,0.0
V137s,True,5143.3,3295.5,0.0
V138s,True,5180.9,3200.6,0.0
V139s,True,5220.5,3110.6,0.0
V140s,True,5284.7,3047.4,0.0
V141s,True,5223.4,3023.2,0.0
V142s,True,5117.1,3471.6,0.0
V143s,True,5154.0,3798.7,0.0
V144s,True,5242.4,3769.1,0.0
V145s,True,5319.4,3815.7,0.0
V146s,True,5404.7,3847.8,0.0
V147s,True,5491.8,3866.2,0.0
V148s,True,5577.9,3873.0,0.0
V149s,True,5662.1,3867.6,0.0
V150s,True,5742.3,3857.0,0.0
V151s,True,5820.0,3902.9,0.0
V152s,True,5904.5,3939.4,0.0
V153s,True,5927.5,4027.2,0.0
V154s,True,5951.8,4119.5,0.0
V155s,True,6031.0,4123.8,0.0
V156s,True,6112.4,4132.4,0.0
V157s,True,6195.8,4143.1,0.0
V158s,True,6238.5,4201.3,0.0
V159s,True,6282.7,4143.0,0.0
V160s,True,6362.2,4171.9,0.0
V161s,True,6438.7,4197.1,0.0
V162s,True,5938.7,4207.4,0.0
V163s,True,5943.7,4293.6,0.0
V164s,True,5959.3,4378.5,0.0
V165s,True,5929.6,4459.8,0.0
V166s,True,5876.8,4527.5,0.0
V167s,True,5833.0,4602.9,0.0
V168s,True,5779.4,4673.8,0.0
V169s,True,5743.0,4755.0,0.0
V170s,True,5690.4,4829.5,0.0
V171s,True,5597.4,4845.7,0.0
V172s,True,5604.2,4903.6,0.0
V173s,True,5507.4,4876.8,0.0
V174s,True,5420.8,4909.0,0.0
