pipe_id,inlet_node,outlet_node,is_supply,is_aerial,length,d_int,t_int,t_ins,t_ext,lambda_ins,roughness
P0s,V0s,V1s,True,False,5.1116,0.263,0.005,0.107,0.0065,0.027,0.045
P1s,V1s,V2s,True,False,55.4712,0.1603,0.004,0.068,0.00535,0.026,0.045
P2s,V2s,V3s,True,False,0.8918,0.1603,0.004,0.068,0.00535,0.026,0.045
P3s,V3s,V4s,True,False,2.0717,0.1071,0.0036,0.064,0.00385,0.026,0.045
P4s,V4s,V5s,True,False,65.1147,0.0825,0.0032,0.052,0.00355,0.026,0.045
P5s,V5s,V6s,True,False,43.4233,0.0703,0.0029,0.049,0.00295,0.026,0.045
P6s,V6s,V7s,True,False,8.4549,0.0703,0.0029,0.049,0.00295,0.026,0.045
P7s,V7s,V8s,True,False,8.8258,0.0703,0.0029,0.049,0.00295,0.026,0.045
P8s,V8s,V9s,True,False,42.6789,0.0431,0.0026,0.043,0.00285,0.026,0.045
P9s,V9s,V10s,True,False,18.7971,0.0431,0.0026,0.043,0.00285,0.026,0.045
P10s,V10s,V11s,True,False,50.0326,0.0431,0.0026,0.043,0.00285,0.026,0.045
P11s,V11s,V12s,True,False,12.9061,0.0431,0.0026,0.043,0.00285,0.026,0.045
P12s,V12s,V13s,True,False,7.9136,0.0431,0.0026,0.043,0.00285,0.026,0.045
P13s,V13s,V14s,True,True,6.7866,0.0431,0.0026,0.043,0.00285,0.026,0.045
P14s,V14s,V15s,True,True,3.4093,0.0431,0.0026,0.043,0.00285,0.026,0.045
P15s,V12s,V16s,True,False,0.8157,0.0372,0.0026,0.046,0.0028,0.026,0.045
P16s,V16s,V17s,True,False,6.8262,0.0372,0.0026,0.046,0.0028,0.026,0.045
P17s,V17s,V18s,True,False,17.7037,0.0285,0.0026,0.043,0.00265,0.026,0.045
P18s,V8s,V19s,True,False,3.2202,0.0703,0.0029,0.049,0.00295,0.026,0.045
P19s,V19s,V20s,True,False,8.7315,0.0703,0.0029,0.049,0.00295,0.026,0.045
P20s,V20s,V21s,True,False,25.7075,0.0703,0.0029,0.049,0.00295,0.026,0.045
P21s,V21s,V22s,True,False,27.4818,0.0703,0.0029,0.049,0.00295,0.026,0.045
P22s,V22s,V23s,True,False,0.6447,0.0703,0.0029,0.049,0.00295,0.026,0.045
P23s,V23s,V24s,True,False,48.7341,0.0545,0.0029,0.047,0.00285,0.026,0.045
P24s,V24s,V25s,True,False,32.1516,0.0545,0.0029,0.047,0.00285,0.026,0.045
P25s,V25s,V26s,True,False,17.1448,0.0545,0.0029,0.047,0.00285,0.026,0.045
P26s,V26s,V27s,True,False,0.4699,0.0431,0.0026,0.043,0.00285,0.026,0.045
P27s,V27s,V28s,True,False,1.7498,0.0372,0.0026,0.046,0.0028,0.026,0.045
P28s,V25s,V29s,True,False,1.051,0.0431,0.0026,0.043,0.00285,0.026,0.045
P29s,V29s,V30s,True,False,1.8058,0.0372,0.0026,0.046,0.0028,0.026,0.045
P30s,V30s,V31s,True,True,0.6975,0.0372,0.0026,0.046,0.0028,0.026,0.045
P31s,V31s,V32s,True,True,0.1376,0.0372,0.0026,0.046,0.0028,0.026,0.045
P32s,V5s,V33s,True,False,0.5398,0.0825,0.0032,0.052,0.00355,0.026,0.045
